,open,high,low,close,volume
2021-04-19 03:45:00,358.70001220703125,366.0,353.8500061035156,361.3999938964844,15435944
2021-04-20 03:45:00,368.6000061035156,371.5,354.54998779296875,359.3500061035156,15526407
2021-04-22 03:45:00,360.79998779296875,365.6000061035156,354.70001220703125,355.8500061035156,12756931
2021-04-23 03:45:00,354.04998779296875,362.6499938964844,345.29998779296875,349.5,12805877
2021-04-26 03:45:00,353.0,358.25,345.5,348.3500061035156,16472269
2021-04-27 03:45:00,350.1000061035156,370.0,350.1000061035156,366.25,41263319
2021-04-28 03:45:00,368.8500061035156,368.8999938964844,358.0,362.6000061035156,15197329
2021-04-29 03:45:00,367.3999938964844,377.29998779296875,364.6000061035156,372.1499938964844,34391622
2021-04-30 03:45:00,368.8999938964844,377.0,361.29998779296875,364.3999938964844,19935239
2021-05-03 03:45:00,364.3999938964844,373.20001220703125,357.6499938964844,369.95001220703125,15890242
2021-05-04 03:45:00,372.0,384.45001220703125,359.70001220703125,362.54998779296875,29767756
2021-05-05 03:45:00,367.0,373.70001220703125,364.29998779296875,367.1000061035156,15192338
2021-05-06 03:45:00,370.0,388.6000061035156,367.79998779296875,385.95001220703125,31912131
2021-05-07 03:45:00,390.0,404.95001220703125,385.25,401.1000061035156,46343220
2021-05-10 03:45:00,407.79998779296875,427.5,406.70001220703125,425.75,39516234
2021-05-11 03:45:00,414.8500061035156,420.6000061035156,408.8500061035156,412.79998779296875,27497466
2021-05-12 03:45:00,416.0,417.6499938964844,393.70001220703125,398.79998779296875,18242276
2021-05-14 03:45:00,403.0,403.6499938964844,368.1499938964844,382.79998779296875,41384078
2021-05-17 03:45:00,384.5,395.3500061035156,377.25,392.95001220703125,20821967
2021-05-18 03:45:00,401.0,412.79998779296875,396.5,402.1000061035156,30540086
2021-05-19 03:45:00,400.0,406.45001220703125,394.20001220703125,403.29998779296875,16113667
2021-05-20 03:45:00,390.0,393.20001220703125,379.45001220703125,385.20001220703125,30689219
