,open,high,low,close,volume
2021-04-19 03:45:00,87.25,89.5,85.3499984741211,89.1500015258789,60730939
2021-04-20 03:45:00,90.5,92.1500015258789,87.69999694824219,89.0,36041449
2021-04-22 03:45:00,89.5,94.5,89.0,94.05000305175781,56291774
2021-04-23 03:45:00,95.0,96.69999694824219,90.75,93.0999984741211,72844016
2021-04-26 03:45:00,95.05000305175781,101.19999694824219,94.8499984741211,100.5,167027119
2021-04-27 03:45:00,100.5,101.55000305175781,99.30000305175781,100.1500015258789,59990913
2021-04-28 03:45:00,100.80000305175781,104.19999694824219,99.5999984741211,103.5,71403090
2021-04-29 03:45:00,105.0,113.5,104.75,112.5,144435081
2021-04-30 03:45:00,111.0,121.3499984741211,109.25,119.5,211743607
2021-05-03 03:45:00,119.19999694824219,130.60000610351562,116.44999694824219,127.75,170916244
2021-05-04 03:45:00,129.6999969482422,135.6999969482422,126.1500015258789,128.0,195246744
2021-05-05 03:45:00,132.5,134.3000030517578,126.55000305175781,130.3000030517578,104823675
2021-05-06 03:45:00,130.39999389648438,135.0,129.35000610351562,133.64999389648438,97680986
2021-05-07 03:45:00,136.10000610351562,145.85000610351562,136.10000610351562,144.25,164883787
2021-05-10 03:45:00,150.4499969482422,151.3000030517578,145.0,146.3000030517578,114303952
2021-05-11 03:45:00,141.5,143.9499969482422,138.3000030517578,140.39999389648438,117184978
2021-05-12 03:45:00,140.39999389648438,143.25,129.14999389648438,132.1999969482422,95677126
2021-05-14 03:45:00,133.39999389648438,134.3000030517578,123.19999694824219,127.1500015258789,147648853
2021-05-17 03:45:00,128.0,131.5,123.0999984741211,130.5500030517578,81100256
2021-05-18 03:45:00,134.5,136.1999969482422,130.39999389648438,131.9499969482422,66676999
2021-05-19 03:45:00,130.60000610351562,132.5,127.5999984741211,128.60000610351562,38298939
2021-05-20 03:45:00,125.0,125.4000015258789,121.0,121.44999694824219,59942600
2021-05-21 03:45:00,122.0,124.80000305175781,121.4000015258789,122.0,36201475
2021-05-24 03:45:00,122.30000305175781,125.75,117.0999984741211,124.75,96749599
2021-05-25 03:45:00,126.4000015258789,128.3000030517578,123.25,123.94999694824219,91822284
2021-05-26 03:45:00,123.0,123.0,118.0999984741211,118.75,67141657
2021-05-27 03:45:00,118.55000305175781,124.3499984741211,118.5,122.25,76208352
2021-05-28 03:45:00,126.5,126.80000305175781,120.25,120.9000015258789,66359161
2021-05-31 03:45:00,121.25,127.6500015258789,119.6500015258789,126.5999984741211,88316813
2021-06-01 03:45:00,127.5,127.69999694824219,120.05000305175781,121.19999694824219,110269080
2021-06-02 03:45:00,121.44999694824219,122.9000015258789,121.0,121.9000015258789,37163462
2021-06-03 03:45:00,123.0,124.6500015258789,122.05000305175781,122.3499984741211,35499419
