,open,high,low,close,volume
2021-04-19 03:45:00,17.600000381469727,17.989999771118164,17.440000534057617,17.489999771118164,76906070
2021-04-20 03:45:00,17.989999771118164,18.1299991607666,17.0,17.43000030517578,59369130
2021-04-22 03:45:00,17.219999313354492,17.65999984741211,17.040000915527344,17.440000534057617,64092205
2021-04-23 03:45:00,17.360000610351562,18.149999618530273,17.290000915527344,17.559999465942383,55625140
2021-04-26 03:45:00,17.719999313354492,17.940000534057617,17.399999618530273,17.549999237060547,35263610
2021-04-27 03:45:00,17.65999984741211,18.149999618530273,17.549999237060547,18.0,44581860
2021-04-28 03:45:00,18.239999771118164,18.899999618530273,18.059999465942383,18.899999618530273,59991155
2021-04-29 03:45:00,19.3799991607666,19.84000015258789,19.139999389648438,19.399999618530273,206709740
2021-04-30 03:45:00,19.020000457763672,19.65999984741211,18.889999389648438,18.950000762939453,86726395
2021-05-03 03:45:00,18.799999237060547,19.530000686645508,18.40999984741211,19.110000610351562,67063760
2021-05-04 03:45:00,19.34000015258789,19.799999237060547,18.8700008392334,19.139999389648438,106963065
2021-05-05 03:45:00,19.350000381469727,19.760000228881836,19.219999313354492,19.40999984741211,96372575
2021-05-06 03:45:00,19.600000381469727,19.780000686645508,19.200000762939453,19.3700008392334,41087110
2021-05-07 03:45:00,19.799999237060547,20.0,19.34000015258789,19.40999984741211,64647700
2021-05-10 03:45:00,19.600000381469727,19.959999084472656,19.40999984741211,19.700000762939453,69583050
2021-05-11 03:45:00,19.59000015258789,20.200000762939453,19.469999313354492,19.799999237060547,69385075
2021-05-12 03:45:00,19.989999771118164,20.15999984741211,19.399999618530273,19.489999771118164,45772815
2021-05-14 03:45:00,19.68000030517578,19.68000030517578,18.799999237060547,19.15999984741211,58664505
2021-05-17 03:45:00,19.260000228881836,19.68000030517578,19.25,19.40999984741211,36777455
2021-05-18 03:45:00,19.579999923706055,20.3799991607666,19.420000076293945,20.3799991607666,122211235
2021-05-19 03:45:00,20.739999771118164,21.389999389648438,20.260000228881836,20.479999542236328,196348435
2021-05-20 03:45:00,20.600000381469727,20.790000915527344,19.790000915527344,20.020000457763672,95651010
2021-05-21 03:45:00,20.200000762939453,20.549999237060547,20.100000381469727,20.219999313354492,64646940
2021-05-24 03:45:00,20.34000015258789,20.600000381469727,20.200000762939453,20.209999084472656,45679455
2021-05-25 03:45:00,20.399999618530273,20.5,20.0,20.079999923706055,42903045
2021-05-26 03:45:00,20.25,20.270000457763672,19.809999465942383,19.850000381469727,31769885
2021-05-27 03:45:00,20.0,20.0,18.860000610351562,19.030000686645508,172749750
2021-05-28 03:45:00,19.18000030517578,19.399999618530273,18.149999618530273,18.389999389648438,130924555
2021-05-31 03:45:00,18.530000686645508,18.850000381469727,18.450000762939453,18.5,49124395
2021-06-01 03:45:00,18.799999237060547,19.420000076293945,18.360000610351562,19.06999969482422,158721500
2021-06-02 03:45:00,19.190000534057617,19.8799991607666,19.100000381469727,19.280000686645508,153788695
2021-06-03 03:45:00,19.5,20.239999771118164,19.399999618530273,20.149999618530273,252347030
2021-06-04 03:45:00,20.280000686645508,21.149999618530273,19.8700008392334,21.149999618530273,282495740
2021-06-07 03:45:00,22.510000228881836,25.3799991607666,22.25,25.3799991607666,575751000
2021-06-08 03:45:00,26.799999237060547,30.450000762939453,26.31999969482422,30.350000381469727,1106974700
2021-06-09 03:45:00,31.200000762939453,33.380001068115234,27.700000762939453,30.469999313354492,962186980
2021-06-10 03:45:00,31.469999313354492,32.79999923706055,30.600000381469727,30.81999969482422,288468315
2021-06-11 03:45:00,31.799999237060547,31.899999618530273,29.399999618530273,29.65999984741211,171298415
2021-06-14 03:45:00,28.18000030517578,28.18000030517578,28.18000030517578,28.18000030517578,10649595
2021-06-15 03:45:00,26.780000686645508,27.600000381469727,26.780000686645508,26.780000686645508,29625545
2021-06-16 03:45:00,25.450000762939453,25.450000762939453,25.450000762939453,25.450000762939453,4019480
2021-06-17 03:45:00,24.18000030517578,24.18000030517578,24.18000030517578,24.18000030517578,3097380
2021-06-18 03:45:00,22.979999542236328,22.979999542236328,22.979999542236328,22.979999542236328,8559785
2021-06-21 03:45:00,21.84000015258789,24.1200008392334,21.84000015258789,24.1200008392334,60716195
2021-06-22 03:45:00,25.149999618530273,25.31999969482422,24.799999237060547,25.31999969482422,20418370
