Datetime,Close,High,Low,Open,Volume
2024-04-15 03:45:00+00:00,47981.94921875,48239.19921875,47905.6484375,48069.1015625,0
2024-04-15 04:45:00+00:00,48027.6484375,48119.6484375,47953.19921875,47982.3984375,0
2024-04-15 05:45:00+00:00,48065.80078125,48074.1015625,47998.94921875,48028.30078125,0
2024-04-15 06:45:00+00:00,47979.3984375,48071.30078125,47956.8984375,48064.55078125,0
2024-04-15 07:45:00+00:00,47960.69921875,48020.8515625,47933.55078125,47983.6015625,0
2024-04-15 08:45:00+00:00,47770.19921875,47970.94921875,47745.94921875,47960.69921875,0
2024-04-15 09:45:00+00:00,47757.3515625,47807.30078125,47728.3515625,47772.44921875,0
2024-04-16 03:45:00+00:00,47523.8984375,47567.8984375,47323.1484375,47451.80078125,0
2024-04-16 04:45:00+00:00,47530.6484375,47544.1484375,47435.19921875,47522.3984375,0
2024-04-16 05:45:00+00:00,47468.6015625,47570.25,47395.75,47532.8515625,0
2024-04-16 06:45:00+00:00,47436.30078125,47475.1015625,47413.30078125,47468.94921875,0
2024-04-16 07:45:00+00:00,47487.8515625,47517.6484375,47406.69921875,47434.6015625,0
2024-04-16 08:45:00+00:00,47524.25,47525.3515625,47392.6484375,47486.6484375,0
2024-04-16 09:45:00+00:00,47598.25,47608.25,47504.30078125,47524.75,0
2024-04-18 03:45:00+00:00,47577.1484375,47828.30078125,47532.5,47615.1015625,0
2024-04-18 04:45:00+00:00,47719.80078125,47748.94921875,47466.6484375,47575.5,0
2024-04-18 05:45:00+00:00,47614.94921875,47741.25,47610.55078125,47716.6484375,0
2024-04-18 06:45:00+00:00,47666.8515625,47714.75,47609.80078125,47616.25,0
2024-04-18 07:45:00+00:00,47351.0,47718.1015625,47139.05078125,47663.1015625,0
2024-04-18 08:45:00+00:00,46995.8984375,47414.80078125,46982.94921875,47349.1484375,0
2024-04-18 09:45:00+00:00,47131.80078125,47174.05078125,46983.44921875,46995.69921875,0
2024-04-19 03:45:00+00:00,46903.75,46950.6015625,46582.94921875,46714.0,0
2024-04-19 04:45:00+00:00,46885.30078125,46927.8984375,46792.5,46904.3515625,0
2024-04-19 05:45:00+00:00,46966.30078125,47043.6484375,46863.6484375,46885.30078125,0
2024-04-19 06:45:00+00:00,47295.8515625,47357.1484375,46939.44921875,46963.69921875,0
2024-04-19 07:45:00+00:00,47542.44921875,47653.3984375,47203.25,47294.94921875,0
2024-04-19 08:45:00+00:00,47628.1015625,47635.44921875,47375.3515625,47550.94921875,0
2024-04-19 09:45:00+00:00,47614.1484375,47661.5,47551.8515625,47631.94921875,0
2024-04-22 03:45:00+00:00,47750.44921875,48007.69921875,47674.55078125,47997.1484375,0
2024-04-22 04:45:00+00:00,47822.6015625,47842.6015625,47628.44921875,47751.8515625,0
2024-04-22 05:45:00+00:00,47825.69921875,47886.3515625,47787.69921875,47822.80078125,0
2024-04-22 06:45:00+00:00,47783.30078125,47850.69921875,47744.3515625,47821.8984375,0
