date,open,high,low,close,volume
2020-12-31 18:30:00,209.9,214.2,209.3,213.85,19527333
2021-01-03 18:30:00,214.0,216.0,212.1,213.4,26891799
2021-01-04 18:30:00,212.45,213.25,210.6,211.45,18024083
2021-01-05 18:30:00,211.45,211.5,204.5,205.4,49067837
2021-01-06 18:30:00,206.1,207.6,202.1,202.8,34952401
2021-01-07 18:30:00,204.35,206.0,200.25,201.5,56427360
2021-01-10 18:30:00,204.0,206.1,201.25,202.5,42970983
2021-01-11 18:30:00,203.0,206.9,201.6,206.45,35617404
2021-01-12 18:30:00,207.45,213.0,205.25,211.25,63925996
2021-01-13 18:30:00,212.0,216.5,211.6,214.15,48304263
2021-01-14 18:30:00,214.9,218.5,211.2,217.85,58321158
2021-01-17 18:30:00,218.4,222.0,214.6,219.75,67607822
2021-01-18 18:30:00,221.0,221.7,217.5,218.85,31785089
2021-01-19 18:30:00,218.5,219.0,215.7,217.65,44672447
2021-01-20 18:30:00,219.0,219.5,212.2,213.7,28999164
2021-01-21 18:30:00,214.0,214.75,209.15,210.7,24712182
2021-01-24 18:30:00,212.0,212.5,206.85,207.8,24967899
2021-01-26 18:30:00,208.0,212.65,207.1,210.65,48471357
2021-01-27 18:30:00,209.25,211.0,205.75,206.6,22131983
2021-01-28 18:30:00,208.55,208.8,202.35,203.25,23764654
2021-01-31 18:30:00,204.0,217.95,201.8,215.95,57744414
2021-02-01 18:30:00,220.0,223.5,217.0,218.2,48457781
2021-02-02 18:30:00,221.5,222.0,215.7,216.75,53643263
2021-02-03 18:30:00,216.1,231.4,216.0,229.95,105818897
2021-02-04 18:30:00,232.15,238.85,227.25,234.35,125490301
2021-02-07 18:30:00,237.5,238.05,231.5,233.1,41495834
2021-02-08 18:30:00,234.6,239.2,228.2,229.0,70655961
2021-02-09 18:30:00,229.0,231.1,223.1,227.55,47283127
2021-02-10 18:30:00,229.0,229.3,224.5,226.45,43631374
2021-02-11 18:30:00,225.75,225.75,215.8,217.45,110568108
2021-02-14 18:30:00,218.45,221.0,217.5,218.6,31776555
2021-02-15 18:30:00,219.05,221.8,217.25,218.25,29148891
2021-02-16 18:30:00,217.6,218.4,216.55,217.75,19850516
2021-02-17 18:30:00,218.2,220.6,217.9,218.85,24070563
2021-02-18 18:30:00,218.85,218.9,214.0,215.95,28125203
2021-02-21 18:30:00,212.0,212.0,206.0,207.05,51546288
2021-02-22 18:30:00,208.0,210.55,207.0,208.5,26675953
2021-02-23 18:30:00,209.1,209.8,206.5,208.85,13160617
2021-02-24 18:30:00,209.5,211.2,208.8,209.15,25954142
2021-02-25 18:30:00,207.25,208.0,203.0,203.85,43429293
2021-02-28 18:30:00,205.45,207.75,204.05,206.9,16225536
2021-03-01 18:30:00,207.0,210.8,206.5,209.9,25604169
2021-03-02 18:30:00,212.0,212.0,208.8,209.95,20846117
2021-03-03 18:30:00,208.8,211.3,207.6,209.7,24899212
2021-03-04 18:30:00,208.0,210.0,207.2,208.55,17323590
2021-03-07 18:30:00,209.7,210.8,207.7,208.0,22988740
2021-03-08 18:30:00,208.7,209.75,204.75,207.8,22593086
2021-03-09 18:30:00,209.1,209.2,205.8,206.5,19603214
2021-03-11 18:30:00,208.0,208.0,203.5,205.2,30787960
2021-03-14 18:30:00,205.85,206.0,201.6,205.45,41115906
2021-03-15 18:30:00,206.4,208.9,204.95,207.85,48763187
2021-03-16 18:30:00,212.2,213.9,208.55,210.6,78578698
2021-03-17 18:30:00,213.0,219.1,211.9,217.65,91993104
2021-03-18 18:30:00,219.0,226.15,215.55,222.95,134184994
2021-03-21 18:30:00,223.3,226.4,221.5,226.0,46050245
2021-03-22 18:30:00,225.0,228.1,221.3,222.2,41564683
2021-03-23 18:30:00,221.0,222.8,215.25,215.95,27609243
2021-03-24 18:30:00,215.15,215.95,209.05,211.6,40681282
2021-03-25 18:30:00,214.25,214.45,210.35,210.9,26079435
2021-03-29 18:30:00,213.25,215.0,210.4,214.55,27792437
2021-03-30 18:30:00,214.05,219.3,212.7,218.5,36485322
2021-03-31 18:30:00,220.0,220.6,217.3,220.05,29062762
2021-04-04 18:30:00,217.6,220.0,210.5,212.55,31378045
2021-04-05 18:30:00,213.8,214.95,210.15,212.65,25674227
2021-04-06 18:30:00,212.7,215.2,212.45,213.8,15204883
2021-04-07 18:30:00,214.85,216.1,212.85,213.25,14116874
2021-04-08 18:30:00,213.75,215.95,212.55,213.1,16364247
2021-04-11 18:30:00,210.0,211.0,205.0,205.3,34511670
2021-04-12 18:30:00,207.0,209.7,206.0,208.7,20247639
2021-04-14 18:30:00,209.0,210.45,206.0,206.7,17530742
2021-04-15 18:30:00,208.0,209.25,206.5,207.95,13311926
2021-04-18 18:30:00,205.0,206.1,203.75,205.6,15792299
2021-04-19 18:30:00,206.2,207.0,202.5,203.55,21364882
2021-04-21 18:30:00,202.0,206.3,200.55,205.9,23139735
2021-04-22 18:30:00,204.25,207.0,204.25,205.35,19625381
2021-04-25 18:30:00,205.8,206.75,204.7,205.3,19886214
2021-04-26 18:30:00,205.3,206.95,205.05,205.4,11444814
2021-04-27 18:30:00,206.0,206.5,205.3,205.5,12708021
2021-04-28 18:30:00,207.1,207.55,204.05,204.3,13096755
2021-04-29 18:30:00,203.9,205.7,202.0,202.6,16495657
2021-05-02 18:30:00,201.2,201.85,200.0,200.95,20611626
2021-05-03 18:30:00,201.2,202.35,199.1,199.6,18259282
2021-05-04 18:30:00,201.45,202.0,199.5,201.4,13862655
2021-05-05 18:30:00,202.3,205.95,202.1,202.75,14320889
2021-05-06 18:30:00,202.95,206.45,202.95,205.35,19463495
2021-05-09 18:30:00,207.15,207.45,205.0,205.55,16295368
2021-05-10 18:30:00,203.9,206.5,203.75,204.0,13747541
2021-05-11 18:30:00,203.9,205.25,202.85,203.25,16537612
2021-05-13 18:30:00,205.0,213.2,204.0,212.25,61647120
2021-05-16 18:30:00,216.8,217.0,211.65,212.6,38001828
2021-05-17 18:30:00,214.1,214.6,209.65,210.05,30479551
2021-05-18 18:30:00,210.05,211.4,207.55,207.75,24405319
2021-05-19 18:30:00,208.45,209.3,206.8,207.0,20884367
2021-05-20 18:30:00,207.6,209.85,207.4,209.05,22638020
2021-05-23 18:30:00,209.5,212.05,207.75,211.5,28865798
2021-05-24 18:30:00,213.0,213.4,210.25,210.9,25334878
2021-05-25 18:30:00,211.8,212.45,210.3,210.6,17576137
2021-05-26 18:30:00,211.0,214.15,210.3,211.15,47554219
2021-05-27 18:30:00,212.5,213.5,211.55,212.9,25597550
2021-05-30 18:30:00,215.0,217.9,214.4,216.6,73039531
2021-05-31 18:30:00,218.0,219.4,214.25,215.25,38755111
2021-06-01 18:30:00,210.5,212.45,208.6,209.0,96654991
2021-06-02 18:30:00,210.75,210.75,208.7,209.05,46657520
2021-06-03 18:30:00,209.5,209.7,208.0,208.75,30126021
2021-06-06 18:30:00,210.4,212.4,210.2,211.45,31433280
2021-06-07 18:30:00,212.2,214.25,211.2,213.65,21261361
2021-06-08 18:30:00,214.0,214.75,211.5,212.5,24887924
2021-06-09 18:30:00,208.7,211.4,207.5,209.3,30719587
2021-06-10 18:30:00,210.3,210.45,207.75,207.9,21424291
2021-06-13 18:30:00,207.95,208.45,205.2,207.3,17677889
2021-06-14 18:30:00,207.55,208.4,207.0,207.05,14854294
2021-06-15 18:30:00,207.05,209.35,207.05,207.85,20104244
2021-06-16 18:30:00,206.95,208.0,205.0,205.65,21476893
2021-06-17 18:30:00,206.0,206.45,202.5,204.55,23567549
2021-06-20 18:30:00,203.1,206.0,202.4,204.45,19074685
2021-06-21 18:30:00,206.1,206.25,204.35,205.1,18042675
2021-06-22 18:30:00,205.65,205.85,203.6,203.95,12575210
2021-06-23 18:30:00,204.45,204.65,202.55,203.25,22435272
2021-06-24 18:30:00,204.0,205.6,203.75,205.05,13877208
2021-06-27 18:30:00,205.9,205.9,203.35,203.6,14627153
2021-06-28 18:30:00,203.6,205.3,203.15,203.3,13326068
2021-06-29 18:30:00,204.3,204.4,202.55,202.7,15942408
2021-06-30 18:30:00,202.9,203.8,202.15,203.0,10191296
2021-07-01 18:30:00,203.3,203.7,202.25,202.4,12698779
2021-07-04 18:30:00,203.0,204.1,202.7,203.65,10248249
2021-07-05 18:30:00,203.25,203.8,202.25,202.5,11088659
2021-07-06 18:30:00,202.5,205.2,202.3,203.75,17879443
2021-07-07 18:30:00,203.5,204.5,201.8,202.0,20925008
2021-07-08 18:30:00,202.0,202.35,200.9,201.35,11834045
2021-07-11 18:30:00,202.0,202.55,200.95,201.1,13085323
2021-07-12 18:30:00,202.0,202.2,201.35,201.85,10830411
2021-07-13 18:30:00,201.85,205.15,201.7,204.1,20480406
2021-07-14 18:30:00,204.4,208.5,202.9,206.25,28852257
2021-07-15 18:30:00,207.7,209.65,207.2,207.9,29019824
2021-07-18 18:30:00,206.8,209.5,206.35,207.75,16464973
2021-07-19 18:30:00,208.2,209.3,206.4,206.8,23656813
2021-07-21 18:30:00,207.0,208.25,205.85,207.0,18311537
2021-07-22 18:30:00,207.0,213.6,206.5,212.4,44526781
