date,open,high,low,close,volume
2020-12-31 18:30:00,184.95,187.0,184.5,186.5,27334421
2021-01-03 18:30:00,191.8,193.0,188.75,191.3,63980597
2021-01-04 18:30:00,187.1,193.9,185.05,193.2,75752593
2021-01-05 18:30:00,194.45,197.6,190.65,195.4,75621947
2021-01-06 18:30:00,197.0,200.35,195.1,196.75,66024848
2021-01-07 18:30:00,198.75,201.5,197.1,198.15,53991568
2021-01-10 18:30:00,199.9,225.4,199.65,220.65,182483100
2021-01-11 18:30:00,227.0,252.4,224.1,237.8,390577839
2021-01-12 18:30:00,242.9,248.8,238.4,242.6,164649387
2021-01-13 18:30:00,242.85,249.8,238.6,245.1,86819519
2021-01-14 18:30:00,246.0,264.65,242.6,260.3,250038029
2021-01-17 18:30:00,261.65,262.45,241.15,245.95,173383224
2021-01-18 18:30:00,251.5,261.7,251.3,258.65,136861059
2021-01-19 18:30:00,260.0,277.5,258.85,274.9,205145151
2021-01-20 18:30:00,281.0,299.0,280.0,290.6,283614463
2021-01-21 18:30:00,295.95,306.9,278.35,289.35,316008609
2021-01-24 18:30:00,296.9,299.5,277.35,279.15,164346913
2021-01-26 18:30:00,274.9,275.0,265.7,267.5,126586833
2021-01-27 18:30:00,260.05,273.4,259.05,266.8,129156876
2021-01-28 18:30:00,273.0,278.8,260.6,262.7,138442348
2021-01-31 18:30:00,269.75,282.0,255.35,279.6,165655500
2021-02-01 18:30:00,293.6,328.85,290.4,322.0,251965965
2021-02-02 18:30:00,339.2,341.9,326.2,331.0,224190114
2021-02-03 18:30:00,329.0,334.5,322.45,326.15,121033002
2021-02-04 18:30:00,327.6,330.0,312.6,315.9,103512235
2021-02-07 18:30:00,318.75,339.25,318.0,335.95,102123614
2021-02-08 18:30:00,337.0,338.5,322.2,325.05,105981081
2021-02-09 18:30:00,326.0,332.65,319.5,328.9,93466949
2021-02-10 18:30:00,326.45,331.35,323.4,325.0,55257166
2021-02-11 18:30:00,326.4,330.5,321.25,325.4,64093642
2021-02-14 18:30:00,329.9,335.8,324.0,333.35,78680452
2021-02-15 18:30:00,335.45,337.9,327.5,329.2,65943843
2021-02-16 18:30:00,326.9,334.25,325.45,330.15,52150941
2021-02-17 18:30:00,331.5,331.75,321.1,323.85,49204247
2021-02-18 18:30:00,321.95,321.95,301.4,311.85,80274683
2021-02-21 18:30:00,312.45,313.9,302.15,304.5,57723298
2021-02-22 18:30:00,308.5,328.9,308.5,324.0,133310157
2021-02-23 18:30:00,325.0,330.0,316.5,321.65,50821757
2021-02-24 18:30:00,325.35,334.7,323.25,333.15,64514912
2021-02-25 18:30:00,323.0,332.95,318.85,322.95,91901339
2021-02-28 18:30:00,330.0,331.85,322.7,328.3,61190868
2021-03-01 18:30:00,331.1,347.2,326.45,345.75,127708761
2021-03-02 18:30:00,348.65,357.0,346.5,348.5,92006451
2021-03-03 18:30:00,339.0,345.4,337.3,339.2,59863169
2021-03-04 18:30:00,333.0,337.85,319.7,325.15,86738909
2021-03-07 18:30:00,331.75,331.75,318.8,321.25,81925952
2021-03-08 18:30:00,325.0,328.35,309.6,315.2,74702208
2021-03-09 18:30:00,319.5,324.45,316.7,321.45,58643853
2021-03-11 18:30:00,325.05,326.5,314.15,317.55,48360842
2021-03-14 18:30:00,320.0,320.4,310.05,318.55,45083228
2021-03-15 18:30:00,321.0,321.9,315.1,319.95,39267404
2021-03-16 18:30:00,318.6,320.0,304.0,305.8,47262481
2021-03-17 18:30:00,311.0,316.6,299.75,307.0,73731921
2021-03-18 18:30:00,303.5,311.0,290.2,308.95,109932681
2021-03-21 18:30:00,306.45,307.5,300.1,303.05,56385019
2021-03-22 18:30:00,305.0,312.25,304.0,307.4,60240483
2021-03-23 18:30:00,303.55,305.0,293.2,294.45,61523819
2021-03-24 18:30:00,294.0,294.0,282.25,285.55,84528317
2021-03-25 18:30:00,290.5,301.4,290.5,296.4,80924011
2021-03-29 18:30:00,300.5,301.3,292.7,297.05,45257627
2021-03-30 18:30:00,299.0,307.5,297.5,301.8,58569012
2021-03-31 18:30:00,306.75,309.85,303.05,307.75,44088352
2021-04-04 18:30:00,306.8,311.7,297.2,305.05,66178755
2021-04-05 18:30:00,306.15,313.8,304.8,307.75,63031783
2021-04-06 18:30:00,306.75,310.65,305.1,307.8,39073986
2021-04-07 18:30:00,307.9,319.8,307.5,313.95,62459774
2021-04-08 18:30:00,313.2,325.0,312.5,318.2,75462572
2021-04-11 18:30:00,307.85,307.85,282.9,286.55,105342538
2021-04-12 18:30:00,287.25,304.55,280.55,302.85,116874853
2021-04-14 18:30:00,303.0,307.55,296.5,303.5,75262749
2021-04-15 18:30:00,302.0,315.0,300.15,310.0,75330709
2021-04-18 18:30:00,295.0,304.5,292.8,301.4,65791784
2021-04-19 18:30:00,307.7,308.15,294.2,298.05,56740291
