Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-16 00:00:00+05:30,2098.336126600455,2144.714833933699,2087.810850316233,2134.670166015625,2821129,0.0,0.0
2024-04-18 00:00:00+05:30,2129.1431362105322,2150.9146009846795,2123.3758359077597,2128.90283203125,3392171,0.0,0.0
2024-04-19 00:00:00+05:30,2133.901062005108,2156.7299585017845,2110.831861334783,2145.05126953125,2337694,0.0,0.0
2024-04-22 00:00:00+05:30,2162.7374802639833,2166.149846333918,2142.600038215488,2154.567138671875,1804108,0.0,0.0
2024-04-23 00:00:00+05:30,2165.6210578207865,2185.3259986487164,2161.4877793956443,2174.992919921875,1991778,0.0,0.0
2024-04-24 00:00:00+05:30,2178.165191792081,2180.3760371789404,2158.556229932344,2172.590087890625,1404398,0.0,0.0
2024-04-25 00:00:00+05:30,2151.251035420177,2152.981272376825,2129.1911595710244,2144.330322265625,4951866,0.0,0.0
2024-04-26 00:00:00+05:30,2157.931283085826,2167.543449157478,2132.5552585254745,2136.447998046875,2307512,0.0,0.0
2024-04-29 00:00:00+05:30,2147.357921699967,2147.357921699967,2133.900889066216,2139.764404296875,1395292,0.0,0.0
2024-04-30 00:00:00+05:30,2145.4838414125384,2153.3657716357725,2138.7072165560066,2143.94580078125,2119102,0.0,0.0
2024-05-02 00:00:00+05:30,2119.531174035471,2156.2015014717845,2119.531174035471,2139.95703125,2140383,0.0,0.0
2024-05-03 00:00:00+05:30,2145.435325943502,2148.9436724598663,2118.52126271482,2131.065185546875,2595307,0.0,0.0
2024-05-06 00:00:00+05:30,2138.706867307371,2173.7912720969075,2126.2110519028784,2168.69677734375,1619256,0.0,0.0
2024-05-07 00:00:00+05:30,2178.1170177945423,2296.9234944521527,2171.3885009699343,2287.118896484375,8277810,0.0,0.0
2024-05-08 00:00:00+05:30,2274.623049604483,2280.246261031328,2234.8287730626357,2250.25634765625,1813439,0.0,0.0
2024-05-09 00:00:00+05:30,2249.823745544639,2270.489903158512,2229.49387294917,2235.453369140625,1558987,0.0,0.0
2024-05-10 00:00:00+05:30,2230.9840057951815,2279.0448417666416,2230.9840057951815,2270.922607421875,2610266,0.0,0.0
2024-05-13 00:00:00+05:30,2281.928283164871,2289.2814965269827,2256.840435214087,2269.095947265625,1170617,0.0,0.0
2024-05-14 00:00:00+05:30,2269.0479919382315,2280.294179184719,2255.735048205718,2258.474609375,689430,0.0,0.0
2024-05-15 00:00:00+05:30,2258.426515900026,2264.4341196671453,2227.763565469436,2233.194580078125,812282,0.0,0.0
2024-05-16 00:00:00+05:30,2246.3635132828804,2257.0331129272436,2212.0962304942204,2252.27490234375,1880021,0.0,0.0
2024-05-17 00:00:00+05:30,2260.6853282003162,2260.6853282003162,2225.3127434849703,2230.359130859375,1264582,0.0,0.0
2024-05-21 00:00:00+05:30,2217.5267973053774,2234.636500499877,2212.4804099252933,2221.083251953125,1663959,0.0,0.0
2024-05-22 00:00:00+05:30,2221.3718390084937,2281.928492343645,2221.083427058202,2275.103759765625,1914851,0.0,0.0
2024-05-23 00:00:00+05:30,2275.103801980224,2294.232155858532,2263.6654166734984,2290.098876953125,1614718,0.0,0.0
2024-05-24 00:00:00+05:30,2286.253860797852,2290.819640002725,2272.9890237524455,2277.17041015625,974100,0.0,0.0
2024-05-27 00:00:00+05:30,2277.170003912613,2306.8714999936365,2270.8739888820537,2292.020751953125,1116934,0.0,0.0
2024-05-28 00:00:00+05:30,2297.30790719324,2315.571024447078,2286.3020229404683,2303.027099609375,1631747,0.0,0.0
2024-05-29 00:00:00+05:30,2288.8493444421374,2302.1141829106496,2277.506939529292,2281.351806640625,1592495,0.0,0.0
2024-05-30 00:00:00+05:30,2276.161124928281,2280.4384922700256,2243.52786519406,2260.204833984375,1837380,0.0,0.0
2024-05-31 00:00:00+05:30,2261.74277145962,2285.2444715554675,2227.7157960085565,2238.7216796875,5529186,0.0,0.0
2024-06-03 00:00:00+05:30,2288.6569058773034,2294.8567065039656,2253.380300797559,2264.5302734375,1207445,0.0,0.0
2024-06-04 00:00:00+05:30,2281.9284994540258,2412.7020814982593,2251.2657798718847,2399.4853515625,7826048,0.0,0.0
2024-06-05 00:00:00+05:30,2435.2904952507906,2618.306051895857,2427.072045942993,2501.806640625,11061076,0.0,0.0
2024-06-06 00:00:00+05:30,2499.1632419376433,2499.1632419376433,2420.343478153456,2450.718017578125,4102547,0.0,0.0
2024-06-07 00:00:00+05:30,2456.197087082178,2495.799168294792,2427.0721740590598,2477.824462890625,3974253,0.0,0.0
2024-06-10 00:00:00+05:30,2478.977690876211,2493.0594206488636,2447.2575420592607,2465.857177734375,1449122,0.0,0.0
2024-06-11 00:00:00+05:30,2466.482190776072,2476.7671631095104,2452.3523514266144,2457.20654296875,1402423,0.0,0.0
2024-06-12 00:00:00+05:30,2468.4042780366603,2468.4042780366603,2419.3822304588293,2430.62841796875,1754677,0.0,0.0
2024-06-13 00:00:00+05:30,2391.4588918675045,2408.6167027553947,2351.568401318949,2390.93017578125,3123098,0.0,0.0
2024-06-14 00:00:00+05:30,2400.2478917119292,2436.5475426423045,2397.724285194477,2406.79931640625,1729552,24.0,0.0
2024-06-18 00:00:00+05:30,2406.944623727065,2424.512241154475,2400.3931995365956,2413.10791015625,1820933,0.0,0.0
2024-06-19 00:00:00+05:30,2421.600847069597,2421.600847069597,2379.380551739927,2384.71875,986976,0.0,0.0
2024-06-20 00:00:00+05:30,2384.7186407596823,2416.7478288529137,2374.6730278925506,2409.17724609375,2163310,0.0,0.0
2024-06-21 00:00:00+05:30,2402.189015222162,2405.1007594830376,2355.1643928006965,2369.48046875,3646215,0.0,0.0
2024-06-24 00:00:00+05:30,2363.3658647573675,2395.2495606319985,2355.6497895105103,2370.35400390625,1945519,0.0,0.0
2024-06-25 00:00:00+05:30,2367.5879930137835,2374.7216246112826,2356.474645665412,2360.648193359375,833789,0.0,0.0
2024-06-26 00:00:00+05:30,2365.3069576082207,2394.4244006645386,2360.8421882229086,2373.654052734375,1738656,0.0,0.0
2024-06-27 00:00:00+05:30,2377.875751693822,2410.1475818616186,2364.336189135392,2389.716796875,3402726,0.0,0.0
2024-06-28 00:00:00+05:30,2390.5419962243377,2417.232984813931,2390.396503797189,2400.29638671875,2129791,0.0,0.0
2024-07-01 00:00:00+05:30,2388.649646159423,2448.777122647256,2378.021826134139,2431.40380859375,3312865,0.0,0.0
2024-07-02 00:00:00+05:30,2441.0122329179167,2441.0122329179167,2406.411100622321,2412.040283203125,1305210,0.0,0.0
2024-07-03 00:00:00+05:30,2413.496297365214,2445.71979146585,2401.5097584861905,2436.499267578125,1406405,0.0,0.0
2024-07-04 00:00:00+05:30,2441.060905421345,2462.2196282687923,2419.5623842855302,2422.522705078125,1977010,0.0,0.0
2024-07-05 00:00:00+05:30,2422.522573421036,2478.86487051249,2422.522573421036,2472.07080078125,1754286,0.0,0.0
2024-07-08 00:00:00+05:30,2484.688360800629,2518.6587094834504,2461.637052765858,2511.03955078125,2818809,0.0,0.0
2024-07-09 00:00:00+05:30,2511.039427844741,2537.099631698892,2492.4528899015895,2513.951171875,1479529,0.0,0.0
2024-07-10 00:00:00+05:30,2505.0707205854474,2548.746885802939,2497.3060689912268,2533.654296875,1764036,0.0,0.0
2024-07-11 00:00:00+05:30,2540.0114617929316,2540.0600382534158,2513.8543410931525,2532.101318359375,1432671,0.0,0.0
2024-07-12 00:00:00+05:30,2524.482079998987,2561.8494618059694,2524.482079998987,2545.10693359375,1912642,0.0,0.0
2024-07-15 00:00:00+05:30,2550.688029320354,2551.9012561227323,2536.760090845706,2543.214599609375,920101,0.0,0.0
2024-07-16 00:00:00+05:30,2548.698279276291,2644.834418084959,2547.3395600466733,2609.359619140625,3298003,0.0,0.0
2024-07-18 00:00:00+05:30,2620.5698558354193,2670.2635775618123,2576.8936915714958,2657.840087890625,5569762,0.0,0.0
2024-07-19 00:00:00+05:30,2658.4226122563427,2662.3049380865823,2636.0506622679163,2646.775634765625,1668862,0.0,0.0
2024-07-22 00:00:00+05:30,2626.101995167326,2669.050221276368,2626.0534187066073,2654.831298828125,1911629,0.0,0.0
2024-07-23 00:00:00+05:30,2665.2168331572675,2728.595853311204,2651.6286919831223,2684.96826171875,3906259,0.0,0.0
2024-07-24 00:00:00+05:30,2667.1576101328446,2676.3295567061523,2596.402322900649,2637.1181640625,3611927,0.0,0.0
2024-07-25 00:00:00+05:30,2637.118427721687,2644.6890105715133,2591.452522213848,2627.55810546875,2166670,0.0,0.0
2024-07-26 00:00:00+05:30,2643.863904425438,2646.7756488135715,2608.1950356707994,2631.294921875,2135309,0.0,0.0
2024-07-29 00:00:00+05:30,2631.4402385470876,2639.9814022401224,2613.581635609391,2631.82861328125,957011,0.0,0.0
2024-07-30 00:00:00+05:30,2635.7109154365803,2673.3209442701027,2606.399167914487,2612.22265625,1560399,0.0,0.0
2024-07-31 00:00:00+05:30,2625.4229277529967,2629.9360368935118,2596.3540595490326,2626.0537109375,1751085,0.0,0.0
2024-08-01 00:00:00+05:30,2634.1581489635837,2644.785968827308,2615.9111696630976,2635.66259765625,1886392,0.0,0.0
2024-08-02 00:00:00+05:30,2632.2168729998184,2678.319491535029,2602.2743407046587,2613.339111328125,1738872,0.0,0.0
2024-08-05 00:00:00+05:30,2597.227273238811,2661.334222675603,2587.764104503914,2636.001953125,3118731,0.0,0.0
2024-08-06 00:00:00+05:30,2640.0785950237046,2690.20903019787,2628.96524828348,2669.1474609375,2296031,0.0,0.0
2024-08-07 00:00:00+05:30,2699.8662700374903,2700.0119994244997,2655.025456133828,2663.323974609375,1713875,0.0,0.0
2024-08-08 00:00:00+05:30,2672.9813547553963,2678.076907446923,2640.3697227462762,2652.793212890625,1464161,0.0,0.0
2024-08-09 00:00:00+05:30,2674.9225119219846,2676.8636748479075,2638.622859990569,2666.38134765625,1284031,0.0,0.0
2024-08-12 00:00:00+05:30,2657.451984181087,2682.1046579872973,2642.3108189254185,2667.837158203125,1297178,0.0,0.0
2024-08-13 00:00:00+05:30,2661.334396791671,2676.5239020483646,2649.7845720557543,2660.751953125,1051237,0.0,0.0
2024-08-14 00:00:00+05:30,2660.363661851899,2661.8681104387065,2626.9757559173618,2641.97119140625,946995,0.0,0.0
2024-08-16 00:00:00+05:30,2657.3547781329457,2672.593096011396,2630.9550108698363,2667.400390625,1727926,0.0,0.0
2024-08-19 00:00:00+05:30,2669.1475248307747,2678.562117366071,2656.5299661657655,2661.8681640625,1130327,0.0,0.0
2024-08-20 00:00:00+05:30,2661.8682216798816,2675.165140246076,2654.588860754042,2670.1181640625,1097889,0.0,0.0
2024-08-21 00:00:00+05:30,2668.613474223842,2712.872079436205,2662.2561188648465,2709.086669921875,1417729,0.0,0.0
2024-08-22 00:00:00+05:30,2720.4911994091617,2727.333845951709,2700.254718563504,2710.639892578125,1552947,0.0,0.0
2024-08-23 00:00:00+05:30,2716.851608794936,2738.010332274373,2689.821056977102,2732.769287109375,2111401,0.0,0.0
2024-08-26 00:00:00+05:30,2732.7692242402322,2751.549833114722,2721.1222468451892,2738.15576171875,1152244,0.0,0.0
2024-08-27 00:00:00+05:30,2726.363034801577,2741.018908091678,2678.367834036984,2685.50146484375,1357212,0.0,0.0
2024-08-28 00:00:00+05:30,2678.804731489039,2699.9148774708824,2664.9739461905906,2683.02685546875,1723549,0.0,0.0
2024-08-29 00:00:00+05:30,2688.462067987683,2727.333902856005,2664.246107950083,2703.31201171875,2129934,0.0,0.0
2024-08-30 00:00:00+05:30,2713.4543899828323,2733.4484617343433,2678.901834096344,2696.275146484375,4029712,0.0,0.0
2024-09-02 00:00:00+05:30,2711.804574932889,2726.2661437739175,2697.245853163385,2707.000244140625,957950,0.0,0.0
2024-09-03 00:00:00+05:30,2698.216341458918,2744.7556730503247,2693.363434369963,2712.095703125,2022116,0.0,0.0
2024-09-04 00:00:00+05:30,2698.216436840079,2760.188157340057,2690.111986931693,2757.66455078125,1640986,0.0,0.0
2024-09-05 00:00:00+05:30,2756.4998023952226,2771.0099471964018,2740.582124971867,2754.94677734375,1945173,0.0,0.0
2024-09-06 00:00:00+05:30,2744.9012192603564,2782.1228719736864,2744.9012192603564,2755.431884765625,1672730,0.0,0.0
2024-09-09 00:00:00+05:30,2769.1658330755886,2851.7621664284884,2759.5569352281223,2835.8447265625,3342754,0.0,0.0
2024-09-10 00:00:00+05:30,2847.6858799868537,2851.180067874474,2802.553844056592,2813.327392578125,1536584,0.0,0.0
2024-09-11 00:00:00+05:30,2825.9451329233075,2863.2153669847785,2812.8422829388005,2818.714111328125,1913665,0.0,0.0
2024-09-12 00:00:00+05:30,2825.3626974022027,2876.221072335061,2809.0568810938826,2869.427001953125,2454564,0.0,0.0
2024-09-13 00:00:00+05:30,2869.426835111309,2869.426835111309,2832.641893822737,2846.666748046875,1902001,0.0,0.0
2024-09-16 00:00:00+05:30,2824.3919995176966,2824.3919995176966,2724.810248668883,2782.754150390625,1489057,0.0,0.0
2024-09-17 00:00:00+05:30,2782.753950166105,2828.176968869778,2775.9598805530186,2788.965576171875,1098661,0.0,0.0
2024-09-18 00:00:00+05:30,2789.451155662023,2808.42607086622,2777.512956142777,2791.246826171875,464796,0.0,0.0
2024-09-19 00:00:00+05:30,2791.6349342197495,2847.9772355641235,2788.8203427591193,2826.090576171875,1713010,0.0,0.0
2024-09-20 00:00:00+05:30,2838.7566700584757,2901.4077499970376,2810.2214332765097,2890.00341796875,3641632,0.0,0.0
2024-09-23 00:00:00+05:30,2892.332571352012,2945.7145483400527,2882.5781808925276,2939.454345703125,1300470,0.0,0.0
2024-09-24 00:00:00+05:30,2931.15585489431,2931.15585489431,2859.429983559541,2863.7490234375,1929308,0.0,0.0
2024-09-25 00:00:00+05:30,2863.749069984707,2873.260815338254,2819.636191624619,2862.196044921875,1055354,0.0,0.0
2024-09-26 00:00:00+05:30,2864.2830665701063,2904.8048428813454,2854.674167856613,2898.25341796875,1902889,0.0,0.0
2024-09-27 00:00:00+05:30,2898.253441779502,2940.8618738147916,2865.884454754662,2878.9873046875,2977081,0.0,0.0
2024-09-30 00:00:00+05:30,2876.9975761841415,2909.706124674832,2856.0331583870834,2871.271240234375,1627702,0.0,0.0
2024-10-01 00:00:00+05:30,2875.541649372102,2875.541649372102,2806.339143756762,2837.737548828125,1184642,0.0,0.0
2024-10-03 00:00:00+05:30,2823.1787931428157,2837.106731735907,2776.9306818262016,2808.23193359375,1233447,0.0,0.0
2024-10-04 00:00:00+05:30,2805.9509130580846,2828.2742859395566,2734.176463728675,2764.94384765625,2456486,0.0,0.0
