Price,Close,High,Low,Open,Volume
Ticker,PETRONET.NS,PETRONET.NS,PETRONET.NS,PETRONET.NS,PETRONET.NS
Date,,,,,
2004-03-26,4.29158353805542,4.979994678952856,3.515290361613781,4.979994678952856,32036948
2004-03-29,4.29158353805542,4.379465852969799,4.247642520283319,4.320877736150272,11272118
2004-03-30,4.320878505706787,4.438054760215151,4.276937480108708,4.2915843023945826,9214162
2004-03-31,4.306230545043945,4.394112858079571,4.291583446309645,4.320877643778244,5874712
2004-04-01,4.481995105743408,4.511289023414572,4.320877580756424,4.350171777797755,9260748
2004-04-02,4.979994773864746,5.053229991127463,4.481995352352308,4.540583470288445,37970688
2004-04-05,5.595170497894287,5.902758175207235,4.979994584528048,5.082523996545811,97860558
2004-04-06,5.785582065582275,6.063876109954528,5.551229597814326,5.7123468495622465,66634092
2004-04-07,5.858816623687744,5.961346026350338,5.6830520132290525,5.844169805624642,41154350
2004-04-08,5.770933628082275,5.888109829117711,5.683051058250548,5.888109829117711,25181032
2004-04-09,5.770933628082275,5.770933628082275,5.770933628082275,5.770933628082275,0
2004-04-12,6.181051731109619,6.473992566150452,5.785581492056435,5.8295225055645,57264840
2004-04-13,6.09316873550415,6.2835807124651195,5.902757317283445,6.2689333364541335,27663252
2004-04-14,6.09316873550415,6.09316873550415,6.09316873550415,6.09316873550415,0
2004-04-15,6.1956987380981445,6.327522341378233,6.049228316115965,6.151757723251554,25511140
2004-04-16,6.415403366088867,6.488638565607553,6.1517567595696425,6.224991959088329,31238310
2004-04-19,7.557872772216797,7.850813586004118,7.308873527489782,7.323520344683043,70477720
2004-04-20,7.279578685760498,7.7336366831786725,7.147755107805436,7.601813663963821,42040052
2004-04-21,7.396756649017334,7.469991863364041,7.10381579163051,7.206345203463967,26804200
2004-04-22,7.308873653411865,7.455344062829015,7.2502852661488975,7.426049869197531,17219094
2004-04-23,7.118461608886719,7.4846376290710195,7.045226404849858,7.323520403686033,19614068
2004-04-26,7.118461608886719,7.118461608886718,7.118461608886718,7.118461608886718,0
2004-04-27,6.488639831542969,7.162404133810621,6.166404779044555,7.133109936539794,22442372
2004-04-28,6.752286434173584,6.840169025265981,6.312875154932604,6.444698762201032,27159242
2004-04-29,6.89875602722168,7.045226435941803,6.7376388011256525,6.7376388011256525,20772056
2004-04-30,6.781580924987793,7.045227592205695,6.7376399069082025,6.796228303507896,17638272
2004-05-03,6.532581329345703,6.810875385810455,6.356817250252577,6.781581186381474,17936154
2004-05-04,6.825521469116211,6.913404057913352,6.591169016471143,6.591169016471143,13318302
2004-05-05,6.9280500411987305,6.986638426664783,6.796227012010491,6.9134032242023435,11961366
2004-05-06,7.118461608886719,7.220991006286376,7.0305795875385915,7.177049995612313,12709830
2004-05-07,7.04522705078125,7.235639045726946,6.898756629278602,7.235639045726946,15082158
2004-05-10,7.001285552978516,7.030579747005762,6.591168512817902,6.913403529637055,10650304
2004-05-11,6.620462417602539,6.869462217845117,6.591168224855132,6.810873832350303,10864734
2004-05-12,6.796226978302002,6.884108997324943,6.488638794241204,6.73763859312654,17067790
2004-05-13,6.796226978302002,7.089167786698807,6.25428637101986,6.605815005851877,20820786
2004-05-14,6.181051731109619,6.8841096234595565,6.019933936592981,6.8841096234595565,19651328
2004-05-17,5.888110637664795,6.034581048757251,4.950699783176964,6.005286854790705,19740158
2004-05-18,6.400757312774658,6.47399252102439,5.65375785338321,5.858816659978579,13850126
2004-05-19,6.89875602722168,6.942697596829931,6.48863899455339,6.48863899455339,19235250
2004-05-20,6.91340446472168,7.762932853974603,6.884110266732195,6.95734548233573,12448752
2004-05-21,6.9280500411987305,7.191696658315462,6.591168221619559,6.884109031469317,18245606
2004-05-24,6.9280500411987305,7.103814638856636,6.9134032242023435,7.01593261939781,7274848
2004-05-25,6.942697525024414,7.015932728627034,6.19569811303354,6.884109138646214,7165466
2004-05-26,6.91340446472168,7.0891690939182315,6.91340446472168,7.030580697939263,4518548
2004-05-27,6.91340446472168,7.0891690939182315,6.91340446472168,6.91340446472168,9484388
2004-05-28,6.8108744621276855,7.0305800899382564,6.708345057401359,7.0305800899382564,9213026
2004-05-31,6.708346366882324,6.884111015188409,6.503288076142237,6.884111015188409,9663446
2004-06-01,6.9280500411987305,6.986638426664783,6.708344433811412,6.708344433811412,9394440
2004-06-02,6.9280500411987305,7.00128524366117,6.9134032242023435,6.9280500411987305,4197770
