Price,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,
2018-10-22,259.6587219238281,273.7722416213611,248.72572310598272,268.3554255289324,1911286
2018-10-23,263.13739013671875,268.8523665041829,253.4467780353665,253.99343098194547,832934
2018-10-24,261.32354736328125,267.46095447506156,257.47214946256105,264.77738767607343,682816
2018-10-25,263.9574279785156,265.87069091127216,254.6146579390778,255.43464509980166,386172
2018-10-26,260.3296203613281,267.3615391462744,255.93158487050434,267.3615391462744,769504
2018-10-29,262.7398681640625,267.3615392634291,256.45338117695525,266.8645847294822,730810
2018-10-30,271.3868713378906,273.30016458060476,260.4041877652056,260.553268065907,819684
2018-10-31,276.1079406738281,283.2392567900063,264.4792221995714,274.2195194171573,585436
2018-11-01,280.1332702636719,282.14593001248096,275.5364409327772,278.3193741247482,195896
2018-11-02,278.1206359863281,282.6429104203742,274.81587597796386,280.6054088251886,249910
2018-11-05,275.71038818359375,277.72304811709563,269.59785306522895,275.8097851635061,373434
2018-11-06,272.9522705078125,276.3067135227014,271.3620099751554,274.59221435986325,126090
2018-11-07,275.71038818359375,276.35642305547464,273.32501232419526,273.32501232419526,24610
2018-11-09,273.5734558105469,275.7103541220194,271.83411503790944,275.56127383641825,205408
2018-11-12,270.666259765625,282.76708877838473,268.35540938546177,275.78488465608314,301486
