Price,Close,High,Low,Open,Volume
Ticker,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS
Date,,,,,
2011-05-06,123.85213470458984,140.04655879241523,113.64260647530861,138.42712497866924,60613615
2011-05-09,120.64845275878906,126.56293324139767,118.81777460075581,122.5143275883349,6129552
2011-05-10,124.16898345947266,124.90828548604165,119.345857487674,120.40201551853836,5514954
2011-05-11,123.28886413574219,125.8236372178346,121.38777089442769,124.62666014486351,3348158
2011-05-12,119.02900695800781,122.7959639883917,116.2125856670466,122.51432615681342,2719399
2011-05-13,116.91671752929688,120.19080372572265,116.38863841737032,118.28972107154648,998959
2011-05-16,113.00891876220703,116.77588701846565,112.02317548173731,116.77588701846565,1530085
2011-05-17,112.58644104003906,114.06506657088333,109.69961555458383,113.36096122168034,875597
2011-05-18,112.0583724975586,114.76918264277442,111.38947450208076,112.3048136903222,567443
2011-05-19,109.48838806152344,112.8680960797058,109.13633536679185,112.76247382500895,276867
2011-05-20,111.24864959716797,114.34670895931777,109.24194497463759,109.84043884277344,731694
2011-05-23,111.24864959716797,112.5864455163246,109.4883861541748,111.14303808810655,343551
2011-05-24,113.50178527832031,114.24109807719375,110.26290697171568,111.24865020768328,568661
2011-05-25,109.45318603515625,115.33247062431634,108.96031438701138,113.07933541579973,601050
2011-05-26,110.96703338623047,112.93852023185484,109.84046026547581,110.61498062896933,512762
2011-05-27,121.73981475830078,123.2184403398977,111.88233953110897,111.88233953110897,4218741
2011-05-30,123.64090728759766,124.55623567369524,120.71886355539318,120.71886355539318,1223067
2011-05-31,123.5352783203125,124.55622890270291,120.43721915779099,123.92253840157638,604495
2011-06-01,127.33746337890625,127.97115392890392,121.77502438221163,123.7465216121313,1963698
2011-06-02,123.78175354003906,128.9921301315727,123.28888182091525,126.66857974850588,1546385
2011-06-03,125.2603530883789,125.92926184933282,120.64847106577895,122.51434617844944,1330147
2011-06-06,123.39447021484375,126.31650330044447,123.21844386646309,125.68281274379235,347137
2011-06-07,122.72557830810547,124.45063445877479,122.05668029994344,123.57050267335205,204739
2011-06-08,119.90913391113281,123.5352718835871,118.28968958355154,122.79595917493107,465391
2011-06-09,118.4305191040039,120.57804259533681,118.11367384156351,120.0499635766711,228604
2011-06-10,115.7197265625,119.27545023054923,114.13548941558057,117.97286168935959,288082
