symbol,rows,large_drop_winrate,large_drop_trades,best_drop_threshold,vol_drop_winrate,vol_drop_trades,rsi2_winrate,rsi2_trades,ml_accuracy,ml_auc,predictability_score,recommendation
HAVELLS,5904,0.6667,9,-0.1,0.4848,33,0.5532,94,0.451,0.459,51.87,LOW
TATACONSUM,7598,0.625,8,-0.1,0.4167,24,0.681,116,0.4669,0.4981,51.75,LOW
SBICARD,1504,0.6667,3,-0.07,0.3333,9,0.4286,14,0.5639,0.5249,51.56,LOW
KPITTECH,1725,0.5,8,-0.08,0.4375,16,0.7857,28,0.5331,0.5283,51.47,LOW
SBIN,7599,0.6667,6,-0.1,0.3182,22,0.712,125,0.4521,0.4794,50.99,LOW
VOLTAS,5906,0.5185,27,-0.08,0.3333,27,0.7849,93,0.4937,0.4905,50.8,LOW
MOTILALOFS,4582,0.5,122,-0.05,0.3684,19,0.6078,51,0.4907,0.4592,50.76,LOW
SIEMENS,6815,0.6364,11,-0.1,0.375,24,0.7358,106,0.4309,0.4503,50.7,LOW
TORNTPOWER,4777,0.5625,16,-0.08,0.25,12,0.7121,66,0.5258,0.5391,50.58,LOW
KFINTECH,810,0.5,46,-0.04,0.4,5,0.7273,11,0.4126,0.4907,50.55,LOW
BEL,5903,0.6,10,-0.1,0.4286,21,0.6596,94,0.4295,0.5172,50.52,LOW
BPCL,7597,0.5,14,-0.1,0.4324,37,0.7521,121,0.5032,0.4956,50.42,LOW
CUMMINSIND,5903,0.6667,3,-0.1,0.3043,23,0.7579,95,0.4313,0.4762,50.37,LOW
POWERINDIA,1494,0.6667,6,-0.08,0.3,10,0.6129,31,0.4853,0.4573,50.22,LOW
DIXON,2116,0.5455,154,-0.03,0.25,12,0.5333,30,0.491,0.4988,50.2,LOW
MCX,3475,0.5,8,-0.1,0.4783,23,0.7547,53,0.4552,0.5408,50.01,LOW
FORTIS,4670,0.5833,12,-0.08,0.4737,19,0.6364,55,0.4284,0.4728,49.97,LOW
PNBHOUSING,2331,0.5556,9,-0.1,0.4,20,0.5385,26,0.4942,0.5402,49.41,LOW
OBEROIRLTY,3817,0.6,5,-0.08,0.3077,13,0.5932,59,0.5,0.5095,49.19,LOW
BAJAJ-AUTO,5906,0.5714,7,-0.1,0.3684,19,0.6484,91,0.4723,0.4939,49.07,LOW
ZYDUSLIFE,6473,0.5714,7,-0.08,0.3158,19,0.6667,84,0.497,0.4868,48.97,LOW
MAXHEALTH,1396,0.5,4,-0.07,0.3333,3,0.8846,26,0.488,0.475,48.57,LOW
